Country,Number of farms,Incidence,Severity,Latitude,Longitude,Host,Elevation
Ethiopia,6,16.7,0.6,10.965905,36.919769,Arabica,2567
Ethiopia,5,0,0,11.25573,36.842458,Arabica,2124
Ethiopia,7,28.6,1.4,10.926715,36.673396,Arabica,2000
Ethiopia,8,0,0,10.330793,37.388934,Arabica,2164
Ethiopia,8,0,0,11.118753,37.920502,Arabica,2446
Ethiopia,6,0,0,10.336289,37.726187,Arabica,2440
Ethiopia,10,0,0,11.513722,39.749914,Arabica,1656
Ethiopia,12,0,0,11.603924,39.770843,Arabica,1788
Ethiopia,6,0,0,9.989207,39.539778,Arabica,2247
Ethiopia,7,0,0,9.185012,39.645971,Arabica,1627
Ethiopia,11,0,0,10.771096,39.985515,Arabica,1627
Ethiopia,4,75,10,11.018384,38.866016,Arabica,2742
Ethiopia,9,0,0,11.248685,39.406473,Arabica,2233
Ethiopia,2,0,0,11.314634,39.054078,Arabica,2085
Ethiopia,14,28.6,1.9,11.560108,37.363931,Arabica,1811
Ethiopia,7,42.9,5.7,10.704254,37.067635,Arabica,2088
Ethiopia,5,0,0,10.572573,37.496597,Arabica,2088
Ethiopia,14,57.1,4.3,10.688903,37.259669,Arabica,1867
Ethiopia,18,16.7,4.4,7.351884,34.944757,Arabica,783
Ethiopia,10,40,1.4,7.077588,40.796672,Arabica,1440
Ethiopia,16,12.5,1.3,7.144051,40.721014,Arabica,1916
Ethiopia,20,5,0.5,6.662968,40.74979,Arabica,1208
Ethiopia,20,40,4.2,5.752752,41.126961,Arabica,544
Ethiopia,33,27.3,2.3,8.43438,36.185489,Arabica,1952
Ethiopia,34,26.5,1,8.701373,36.098498,Arabica,1799
Ethiopia,12,33.3,2.3,8.440917,36.418612,Arabica,1976
Ethiopia,42,45.2,2.8,8.297047,35.56967,Arabica,1698
Ethiopia,36,33.3,2,8.343471,35.795583,Arabica,1575
Ethiopia,33,33.3,4.7,7.530684,36.396267,Arabica,1642
Ethiopia,43,25.6,1,7.683175,36.820807,Arabica,1732
Ethiopia,22,4.6,0.3,7.697633,36.864759,Arabica,2000
Ethiopia,33,51.5,3.3,8.086068,36.945875,Arabica,1714
Ethiopia,31,19.4,1.2,7.998303,36.687389,Arabica,1650
Ethiopia,33,15.2,0.5,7.784281,36.683525,Arabica,1897
Ethiopia,33,42.4,2.7,7.597402,36.716165,Arabica,1841
Ethiopia,35,0,0,8.729135,40.156154,Arabica,1447
Ethiopia,4,0,0,9.060136,40.879874,Arabica,1964
Ethiopia,33,0,0,8.113437,40.731102,Arabica,1455
Ethiopia,6,0,0,9.290625,41.095809,Arabica,1984
Ethiopia,33,3,0.1,8.864122,40.516581,Arabica,2229
Ethiopia,34,2.9,0.1,9.00417,40.883644,Arabica,2407
Ethiopia,14,7.1,0.5,14.413182,39.6126,Arabica,2320
Ethiopia,4,0,0,9.227811,40.754374,Arabica,1334
Ethiopia,10,0,0,8.651562,38.212015,Arabica,2198
Ethiopia,31,45.2,2.7,8.877922,37.86855,Arabica,2598
Ethiopia,33,30.3,1.7,9.208058,35.825431,Arabica,1854
Ethiopia,20,40,1.7,9.012589,34.53872,Arabica,1830
Ethiopia,33,36.4,2.3,9.164382,35.467,Arabica,1590
Ethiopia,33,45.5,2.8,9.071796,40.870535,Arabica,1828
Ethiopia,32,40.6,2.3,6.354004,35.457124,Arabica,993
Ethiopia,21,47.6,3.4,7.509118,35.595299,Arabica,2396
Ethiopia,34,91.2,25.5,6.929357,38.558324,Arabica,2131
Ethiopia,34,94.1,19.1,6.323188,38.260717,Arabica,1713
Ethiopia,32,78.1,25.6,6.169355,38.206845,Arabica,1867
Ethiopia,20,15,2,11.942852,39.664635,Arabica,1704
Ethiopia,24,0,0,7.324193,37.720344,Arabica,2330
Ethiopia,27,18.5,2.3,7.280929,37.409755,Arabica,1467
Ethiopia,24,0,0,7.405533,37.981866,Arabica,2024
Ethiopia,18,27.8,1.8,5.42705,37.23729,Arabica,1561
Ethiopia,28,21.4,1,9.207889,35.825087,Arabica,1854
Ethiopia,38,23.7,1.3,7.201251,35.359945,Arabica,1309
Ethiopia,29,69,6.6,6.600963,38.41449,Arabica,1914
Ethiopia,28,57.1,4.6,6.585154,38.804434,Arabica,2429
Ethiopia,46,41.3,2.5,6.440916,38.681574,Arabica,2276
Ethiopia,34,38.2,2.7,9.795516,39.365551,Arabica,2203
Ethiopia,18,44.4,2.8,9.878277,38.164525,Arabica,2444
Ethiopia,41,12.2,0.4,11.220623,37.573768,Arabica,2369
Ethiopia,28,21.4,1.9,5.281281,36.766409,Arabica,1084
Ethiopia,24,4.2,0.1,6.366277,36.866272,Arabica,2377
Ethiopia,11,0,0,5.460161,37.692695,Arabica,906
Ethiopia,20,0,0,5.329828,37.438445,Arabica,1542
Ethiopia,30,3.3,0.8,7.046507,37.600515,Arabica,2199
Ethiopia,33,3,0.1,6.850369,37.772195,Arabica,1975
Uganda,18,66.7,6.5,0.565787,33.750515,Robusta,1135
Uganda,18,77.8,34.3,0.698774,30.064513,Robusta,965
Uganda,18,100,40.2,-0.634781,30.348432,Robusta,1477
Uganda,9,100,60.7,1.497385,31.382128,Robusta,1231
Uganda,9,100,60.4,1.261449,31.042411,Robusta,1142
Uganda,18,61.1,3.5,0.731777,33.504202,Robusta,1095
Uganda,9,100,17.8,0.536592,33.28492,Robusta,1164
Uganda,9,100,41.9,0.595453,33.170068,Robusta,1142
Uganda,9,100,42.2,0.965058,33.084361,Robusta,1078
Uganda,9,100,30.7,0.943966,33.123972,Robusta,1111
Uganda,63,100,62.9,0.679671,32.985924,Robusta,1117
Uganda,18,100,60.9,0.992925,31.305526,Robusta,1171
Uganda,55,100,60.4,0.97773,31.800314,Robusta,1127
Uganda,18,94.4,41.1,0.639151,30.732276,Robusta,1301
Uganda,32,100,61.1,0.686597,32.608559,Robusta,1143
Uganda,36,100,61,0.735913,32.524745,Robusta,1147
Uganda,72,100,61.8,0.7173,32.675877,Robusta,1102
Uganda,44,88.6,13.3,-0.135955,31.626108,Robusta,1249
Uganda,45,71.1,14,-0.38689,31.320466,Robusta,1272
Uganda,46,91.3,25.9,-0.108531,31.800696,Robusta,1241
Uganda,18,83.3,11.5,0.398151,33.517223,Robusta,1195
Uganda,27,100,54.3,0.179684,32.145135,Robusta,1178
Uganda,45,75.6,28,0.147361,31.707298,Robusta,1206
Uganda,78,100,59.2,0.037505,32.157537,Robusta,1139
Uganda,27,100,68.1,0.27328,31.975662,Robusta,1239
Uganda,42,88.1,42,0.451645,31.396505,Robusta,1223
Uganda,64,100,68.6,0.546197,31.821127,Robusta,1230
Uganda,17,100,66.9,0.375197,32.05733,Robusta,1225
Uganda,54,100,62.7,0.31149,33.042194,Robusta,1219
Uganda,45,100,55.7,0.352638,32.748972,Robusta,1215
Uganda,70,100,62,0.538537,32.790327,Robusta,1143
Uganda,36,33.3,4.1,-0.903416,31.510746,Robusta,1152
Uganda,27,40.7,5.4,-0.643016,31.293909,Robusta,1327
Uganda,72,66.7,11,-0.636931,31.543754,Robusta,1187
Uganda,18,100,40.2,-0.950483,29.972194,Robusta,1678
Uganda,36,75,14.9,-0.122607,31.441709,Robusta,1231
Uganda,98,99,56.8,0.456479,32.373316,Robusta,1179
Uganda,45,100,52.2,0.49489,32.566727,Robusta,1172
Uganda,,0,0,-2.635724,31.310713,Robusta,1428
Uganda,,0,0,-2.584276,31.349142,Robusta,1401
Uganda,,80.7,46,-1.331454,31.803671,Robusta,1238
Uganda,,42.8,1.9,-1.331084,31.816484,Robusta,1144
Uganda,,30.5,9.3,-1.321158,31.784101,Robusta,1202
Uganda,,10.3,1.1,-1.31618,31.797834,Robusta,1215
Uganda,,34.5,16.4,-1.210108,31.407582,Robusta,1159
Uganda,,10.1,0.7,-1.338319,31.799379,Robusta,1238
Uganda,,0,0,-1.592509,31.141927,Robusta,1504
Uganda,,13.8,1.8,-1.27521,30.687196,Robusta,1330
Uganda,,10.8,2.7,-1.402448,31.13414,Robusta,1609
Uganda,,0,0,-1.842092,31.649707,Robusta,1267
Uganda,,4.2,0.8,-1.617565,31.616807,Robusta,1516
Uganda,,37.5,1.7,-2.112765,31.51471,Robusta,1442
Uganda,,66.7,10,-1.84296,31.658907,Robusta,1282
Uganda,,0,0,-1.850102,31.642073,Robusta,1267
Uganda,,0,0,-1.753145,31.620173,Robusta,1511
Uganda,,0,0,-1.520827,33.802228,Robusta,1167
Uganda,,0,0,-2.546869,30.632268,Robusta,1448
Uganda,,0,0,-1.341939,34.377862,Robusta,1438
Uganda,,0,0,-1.28452,34.175634,Robusta,1228
Uganda,,0,0,-1.267927,34.165142,Robusta,1251
Uganda,,0,0,-1.32596,34.350121,Robusta,1354
Uganda,,0,0,-2.026652,32.937301,Robusta,1206
Uganda,,0,0,-1.98352,33.070973,Robusta,1186
Tanzania,20,0,0,-2.67361,31.33917,Robusta,1432
Tanzania,3,0,0,-2.5833,31.35,Robusta,1420
Tanzania,16,80.7,46,1.333333,31.816667,Robusta,1160
Tanzania,7,42.8,1.9,-1.486759,31.698636,Robusta,1277
Tanzania,14,30.5,9.3,-3.9213889,30.1266667,Robusta,1589
Tanzania,9,10.3,1.1,-1.3552,31.755,Robusta,1194
Tanzania,15,34.5,16.4,-1.264376,31.388596,Robusta,1165
Tanzania,10,10.1,0.7,-1.5576,31.4622,Robusta,1205
Tanzania,1,0,0,-1.9482,31.1524,Robusta,1224
Tanzania,29,13.8,1.8,-1.2614,30.6894,Robusta,1356
Tanzania,28,10.8,2.7,-1.2435,30.9474,Robusta,1406
Tanzania,8,0,0,-1.6284,31.7155,Robusta,1332
Tanzania,22,4.2,0.8,-1.6025,31.6257,Robusta,1469
Tanzania,8,37.5,1.7,-2.1083,31.6525,Robusta,1151
Tanzania,6,66.7,10,-1.8386,31.6568,Robusta,1275
Tanzania,7,0,0,-1.7831,31.55,Robusta,1545
Tanzania,3,0,0,-1.7167,31.6167,Robusta,1449
Tanzania,7,0,0,-1.6933,33.8893,Robusta,1319
Tanzania,34,0,0,-1.4649,31.7386,Robusta,1365
Tanzania,26,0,0,-1.35,34.37,Robusta,1416
Tanzania,9,0,0,-1.3588,34.4842,Robusta,1433
Tanzania,13,0,0,-1.9977,32.9888,Robusta,1174
